date : 25/03/2024 13:18:11 
file : auto93.csv 
repeat : 20 
seed : 32400 
rows : 398 
cols : 8
names :         ['Clndrs', 'Volume', 'HpX', 'Model', 'origin', 'Lbs-', 'Acc+', 'Mpg+']          D2h-
mid :           [5.45, 193.43, 0, 76.01, 1, 2970.42, 15.57, 23.84]                              0.56
div :           [104.27, 0, 3.7, 1.33, 846.84, 2.76, 8.34]                                      0.16
#
smo9            [4.0, 90.0, 48.0, 78.0, 2.0, 1985.0, 21.5, 40.0]                                0.19
smo9            [4.0, 90.0, 48.0, 80.0, 2.0, 2085.0, 21.7, 40.0]                                0.2
smo9            [4.0, 90.0, 48.0, 80.0, 2.0, 2085.0, 21.7, 40.0]                                0.2
smo9            [4.0, 85.0, 65.0, 81.0, 3.0, 1975.0, 19.4, 40.0]                                0.24
smo9            [4.0, 85.0, 65.0, 80.0, 3.0, 2110.0, 19.2, 40.0]                                0.25
smo9            [4.0, 85.0, '?', 80.0, 2.0, 1835.0, 17.3, 40.0]                         0.3
smo9            [4.0, 89.0, 62.0, 81.0, 3.0, 2050.0, 17.3, 40.0]                                0.3
smo9            [4.0, 79.0, 58.0, 81.0, 3.0, 1755.0, 16.9, 40.0]                                0.31
smo9            [4.0, 98.0, 70.0, 82.0, 1.0, 2125.0, 17.3, 40.0]                                0.31
smo9            [4.0, 97.0, 46.0, 73.0, 2.0, 1950.0, 21.0, 30.0]                                0.32
smo9            [4.0, 97.0, 46.0, 70.0, 2.0, 1835.0, 20.5, 30.0]                                0.33
smo9            [4.0, 85.0, 65.0, 79.0, 3.0, 2020.0, 19.2, 30.0]                                0.35
smo9            [4.0, 83.0, 61.0, 74.0, 3.0, 2003.0, 19.0, 30.0]                                0.36
smo9            [4.0, 91.0, 68.0, 82.0, 3.0, 1970.0, 17.6, 30.0]                                0.38
smo9            [6.0, 262.0, 85.0, 82.0, 1.0, 3015.0, 17.0, 40.0]                               0.38
smo9            [4.0, 97.0, 75.0, 77.0, 3.0, 2265.0, 18.2, 30.0]                                0.38
smo9            [4.0, 120.0, 79.0, 82.0, 1.0, 2625.0, 18.6, 30.0]                               0.4
smo9            [4.0, 98.0, 83.0, 74.0, 2.0, 2219.0, 16.5, 30.0]                                0.42
smo9            [4.0, 122.0, 80.0, 74.0, 1.0, 2451.0, 16.5, 30.0]                               0.43
smo9            [4.0, 135.0, 84.0, 81.0, 1.0, 2490.0, 15.7, 30.0]                               0.45
#
any50           [4.0, 79.0, 70.0, 71.0, 2.0, 2074.0, 19.5, 30.0]                                0.35
any50           [4.0, 151.0, 90.0, 82.0, 1.0, 2735.0, 18.0, 30.0]                               0.41
any50           [4.0, 151.0, 90.0, 80.0, 1.0, 2678.0, 16.5, 30.0]                               0.44
any50           [4.0, 108.0, 75.0, 80.0, 3.0, 2265.0, 15.2, 30.0]                               0.45
any50           [4.0, 121.0, 113.0, 70.0, 2.0, 2234.0, 12.5, 30.0]                              0.52
any50           [4.0, 108.0, 94.0, 73.0, 3.0, 2379.0, 16.5, 20.0]                               0.53
any50           [6.0, 258.0, 95.0, 76.0, 1.0, 3193.0, 17.8, 20.0]                               0.56
any50           [6.0, 232.0, 90.0, 75.0, 1.0, 3211.0, 17.0, 20.0]                               0.57
any50           [6.0, 173.0, 115.0, 79.0, 1.0, 2595.0, 11.3, 30.0]                              0.57
any50           [6.0, 173.0, 115.0, 79.0, 1.0, 2595.0, 11.3, 30.0]                              0.57
any50           [6.0, 231.0, 105.0, 77.0, 1.0, 3425.0, 16.9, 20.0]                              0.59
any50           [6.0, 225.0, 85.0, 81.0, 1.0, 3465.0, 16.6, 20.0]                               0.6
any50           [4.0, 121.0, 98.0, 75.0, 2.0, 2945.0, 14.5, 20.0]                               0.6
any50           [6.0, 250.0, 100.0, 71.0, 1.0, 3282.0, 15.0, 20.0]                              0.61
any50           [8.0, 350.0, 125.0, 79.0, 1.0, 3900.0, 17.4, 20.0]                              0.63
any50           [8.0, 351.0, 142.0, 79.0, 1.0, 4054.0, 14.3, 20.0]                              0.69
any50           [8.0, 302.0, 130.0, 77.0, 1.0, 4295.0, 14.9, 20.0]                              0.7
any50           [8.0, 351.0, 153.0, 72.0, 1.0, 4129.0, 13.0, 10.0]                              0.82
any50           [8.0, 351.0, 152.0, 76.0, 1.0, 4215.0, 12.8, 10.0]                              0.83
any50           [8.0, 351.0, 158.0, 73.0, 1.0, 4363.0, 13.0, 10.0]                              0.84
#
100%            [4.0, 97.0, 52.0, 82.0, 2.0, 2130.0, 24.6, 40.0]                                0.17
