date : 05/03/2024 05:01:40 
file : auto93.csv
repeat : 20
seed : 32400
rows : 398
cols : 8
names :         ['Clndrs', 'Volume', 'HpX', 'Model', 'origin', 'Lbs-', 'Acc+', 'Mpg+']          D2h-
mid :           [5.45, 193.43, 0, 76.01, 1, 2970.42, 15.57, 23.84]                              0.56
div :           [104.27, 0, 3.7, 1.33, 846.84, 2.76, 8.34]                                      0.16
#
smo9            [4.0, 90.0, 48.0, 80.0, 2.0, 2335.0, 23.7, 40.0]                                0.19
smo9            [4.0, 90.0, 48.0, 80.0, 2.0, 2085.0, 21.7, 40.0]                                0.2
smo9            [4.0, 85.0, 65.0, 81.0, 3.0, 1975.0, 19.4, 40.0]                                0.24
smo9            [4.0, 85.0, 65.0, 80.0, 3.0, 2110.0, 19.2, 40.0]                                0.25
smo9            [4.0, 89.0, 60.0, 80.0, 3.0, 1968.0, 18.8, 40.0]                                0.26
smo9            [4.0, 91.0, 68.0, 82.0, 3.0, 2025.0, 18.2, 40.0]                                0.28
smo9            [4.0, 85.0, '?', 80.0, 2.0, 1835.0, 17.3, 40.0]                         0.3
smo9            [4.0, 85.0, 52.0, 76.0, 1.0, 2035.0, 22.2, 30.0]                                0.31
smo9            [4.0, 85.0, 52.0, 76.0, 1.0, 2035.0, 22.2, 30.0]                                0.31
smo9            [4.0, 81.0, 60.0, 81.0, 3.0, 1760.0, 16.1, 40.0]                                0.33
smo9            [4.0, 91.0, 70.0, 71.0, 1.0, 1955.0, 20.5, 30.0]                                0.33
smo9            [4.0, 68.0, 49.0, 73.0, 2.0, 1867.0, 19.5, 30.0]                                0.34
smo9            [4.0, 98.0, 65.0, 81.0, 1.0, 2380.0, 20.7, 30.0]                                0.34
smo9            [4.0, 85.0, 65.0, 79.0, 3.0, 2020.0, 19.2, 30.0]                                0.35
smo9            [4.0, 78.0, 52.0, 78.0, 3.0, 1985.0, 19.4, 30.0]                                0.35
smo9            [4.0, 98.0, 68.0, 77.0, 3.0, 2045.0, 18.5, 30.0]                                0.37
smo9            [4.0, 112.0, 88.0, 82.0, 1.0, 2640.0, 18.6, 30.0]                               0.4
smo9            [4.0, 120.0, 75.0, 80.0, 3.0, 2542.0, 17.5, 30.0]                               0.41
smo9            [4.0, 140.0, 90.0, 71.0, 1.0, 2264.0, 15.5, 30.0]                               0.44
smo9            [4.0, 134.0, 90.0, 80.0, 3.0, 2711.0, 15.5, 30.0]                               0.47
#
any50           [4.0, 97.0, 52.0, 82.0, 2.0, 2130.0, 24.6, 40.0]                                0.17
any50           [4.0, 79.0, 58.0, 77.0, 2.0, 1825.0, 18.6, 40.0]                                0.26
any50           [4.0, 98.0, 79.0, 76.0, 1.0, 2255.0, 17.7, 30.0]                                0.39
any50           [4.0, 119.0, 82.0, 82.0, 1.0, 2720.0, 19.4, 30.0]                               0.39
any50           [4.0, 76.0, 52.0, 74.0, 3.0, 1649.0, 16.5, 30.0]                                0.41
any50           [4.0, 151.0, 90.0, 82.0, 1.0, 2950.0, 17.3, 30.0]                               0.44
any50           [4.0, 134.0, 90.0, 80.0, 3.0, 2711.0, 15.5, 30.0]                               0.47
any50           [4.0, 140.0, 78.0, 75.0, 1.0, 2592.0, 18.5, 20.0]                               0.51
any50           [6.0, 250.0, 72.0, 75.0, 1.0, 3432.0, 21.0, 20.0]                               0.54
any50           [6.0, 200.0, 81.0, 76.0, 1.0, 3012.0, 17.6, 20.0]                               0.55
any50           [6.0, 198.0, 95.0, 73.0, 1.0, 2904.0, 16.0, 20.0]                               0.57
any50           [4.0, 114.0, 91.0, 73.0, 2.0, 2582.0, 14.0, 20.0]                               0.59
any50           [6.0, 225.0, 95.0, 75.0, 1.0, 3264.0, 16.0, 20.0]                               0.59
any50           [6.0, 258.0, 110.0, 74.0, 1.0, 3632.0, 18.0, 20.0]                              0.59
any50           [6.0, 171.0, 97.0, 75.0, 1.0, 2984.0, 14.5, 20.0]                               0.6
any50           [6.0, 250.0, 105.0, 75.0, 1.0, 3897.0, 18.5, 20.0]                              0.61
any50           [8.0, 429.0, 198.0, 70.0, 1.0, 4341.0, 10.0, 20.0]                              0.8
any50           [8.0, 351.0, 158.0, 73.0, 1.0, 4363.0, 13.0, 10.0]                              0.84
any50           [8.0, 350.0, 180.0, 73.0, 1.0, 4499.0, 12.5, 10.0]                              0.86
any50           [8.0, 400.0, 175.0, 71.0, 1.0, 5140.0, 12.0, 10.0]                              0.93
#
100%            [4.0, 97.0, 52.0, 82.0, 2.0, 2130.0, 24.6, 40.0]                                0.17
